countryname,state_emp_now,occupation,public_educators,public_health_professionals,state_career,DemocracySupport,InstitutionSupport,Democracy,Education,Occupation,MiddleClass,Age,age2,Gender,Expenditures,IncDist,FreeMarket_Support,stateemployment,state_assistance,state_emp_middleclass
albania,0,,,,,1.0,1,1,0.0,,0.0,60.0,3600.0,1,298.5714,4.0,1.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,76.0,5776.0,1,82.0,5.0,1.0,,0.0,0.0
albania,1,"real estate, renting and business activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,54.0,2916.0,1,159.5652,6.0,1.0,0.0,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,50.0,2500.0,1,205.2,5.0,1.0,0.0,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,46.0,2116.0,1,358.9474,4.0,1.0,,0.0,0.0
albania,1,"electricity, gas and water supply",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,70.0,4900.0,1,263.871,4.0,1.0,,0.0,0.0
albania,1,construction,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,43.0,1849.0,1,241.3044,5.0,1.0,,1.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,48.0,2304.0,1,175.6,5.0,0.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,37.0,1369.0,1,239.0476,4.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,65.0,4225.0,1,209.6,4.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,91.0,8281.0,1,176.5714,1.0,1.0,0.0,1.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,50.0,2500.0,1,128.5714,3.0,1.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,52.0,2704.0,1,384.0,7.0,1.0,0.0,0.0,1.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,1.0,1.0,1.0,76.0,5776.0,0,209.1429,6.0,1.0,,0.0,1.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,75.0,5625.0,1,205.7143,4.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,35.0,1225.0,1,349.5238,5.0,0.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,34.0,1156.0,1,336.25,3.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,52.0,2704.0,1,366.5,5.0,1.0,0.0,0.0,0.0
